1,1.56537E+12
2,1.56604E+12
3,1.56658E+12
4,1.56725E+12
5,1.56846E+12
6,1.569E+12
7,1.56967E+12
8,1.57027E+12
9,1.57148E+12
10,1.57203E+12
11,1.57269E+12
12,1.57324E+12
13,1.57451E+12
14,1.57511E+12
15,1.5754E+12
16,1.57572E+12
17,1.57632E+12
18,1.57693E+12
19,1.57736E+12
20,1.57753E+12
21,1.57788E+12
22,1.57868E+12
23,1.57935E+12
24,1.57963E+12
25,1.58056E+12
26,1.58116E+12
27,1.58237E+12
28,1.58292E+12
29,1.58359E+12
30,1.59235E+12
31,1.59287E+12
32,1.59322E+12
33,1.59382E+12
34,1.59408E+12
35,1.59443E+12
36,1.59468E+12
37,1.59503E+12
38,1.59572E+12
